Susie,23
Brian,28
Susie,38
John,33
Karl,26
Karl,31
Susie,34
Jane,32
Susie,35
Karl,34
Brian,25
Susie,39
Susie,24
John,39
Jane,33
Brian,37
Karl,33
Karl,27
Susie,39
Susie,37
Karl,33
Jane,29
Susie,34
Mary,30
Jane,38
John,23
Karl,35
John,34
John,29
John,34
Susie,38
Jane,20
Susie,39
John,40
Karl,22
Mary,35
Susie,26
Susie,23
Susie,40
Jane,20
Karl,37
Karl,24
John,21
Brian,34
Mary,37
Mary,35
John,29
Mary,40
John,30
Susie,40
Jane,30
John,35
Mary,30
Karl,38
Mary,31
Mary,33
Jane,32
Susie,26
Mary,40
Jane,25
Mary,27
Brian,27
John,20
Mary,29
Jane,22
Mary,21
Karl,23
Jane,39
Mary,36
Susie,36
John,38
Brian,25
Mary,29
Karl,33
Jane,23
Karl,38
Jane,30
Mary,35
Susie,22
Susie,37
Brian,34
Jane,21
John,30
Jane,26
Susie,28
Mary,23
Jane,35
John,38
Susie,29
John,38
John,31
Brian,27
Mary,26
Jane,39
John,25
Mary,34
Jane,30
John,21
Susie,39
Karl,24
